LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,"ARCTIC SLOPE NATIVE ASSOCIATION, LTD.",7000 Uula St,BARROW,AK,99723,813920,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,295,4/14/2020,"National Cooperative Bank, National Association",AK - 00
a $5-10 million,CRUZ CONSTRUCTION INC,7000 East Palmer Wasilla Hwy,PALMER,AK,99645,238190,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,215,4/15/2020,First National Bank Alaska,AK - 00
a $5-10 million,"I. C. E. SERVICES, INC",2606 C Street,ANCHORAGE,AK,99503,722310,Corporation,Unanswered,Unanswered,Unanswered,,367,4/11/2020,KeyBank National Association,AK - 00
a $5-10 million,KATMAI HEALTH SERVICES LLC,"11001 O'MALLEY CENTRE DRIVE, SUITE 204",ANCHORAGE,AK,99515,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/29/2020,Truist Bank d/b/a Branch Banking & Trust Co,AK - 00
a $5-10 million,MATANUSKA TELEPHONE ASSOCIATION,1740 S. CHUGACH ST,PALMER,AK,99645,517311,Cooperative,Unanswered,Unanswered,Unanswered,,267,6/10/2020,CoBank ACB,AK - 00
a $5-10 million,"NANA WORLEY, LLC","3700 Centerpoint Drive, 7th floor",ANCHORAGE,AK,99503,541330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,231,5/19/2020,First National Bank Alaska,AK - 00
a $5-10 million,"NORTHERN ENERGY SERVICES, LLC",6250 South Airpark Place,ANCHORAGE,AK,99502,213112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,298,4/6/2020,Northrim Bank,AK - 00
a $5-10 million,SOUTH PENINSULA HOSPITAL INC,4300 BARTLETT STREET,HOMER,AK,99603,622110,Corporation,Unanswered,Unanswered,Unanswered,,439,4/14/2020,First National Bank Alaska,AK - 00
a $5-10 million,"TATITLEK TECHNOLOGIES, INC.",561 E. 36th Avenue,ANCHORAGE,AK,99503,518210,Corporation,Unanswered,Unanswered,Unanswered,,361,4/14/2020,KeyBank National Association,AK - 00
a $5-10 million,"TYONEK GLOBAL SERVICES, LLC",1689 C ST,ANCHORAGE,AK,99501,611420,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/30/2020,BBVA USA,AK - 00
a $5-10 million,"TYONEK WORLDWIDE SERVICES, INC.",1689 C ST,ANCHORAGE,AK,99501,488190,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,4/30/2020,BBVA USA,AK - 00
a $5-10 million,"YULISTA TACTICAL, LLC",5015 BUSINESS PARK BLVD Suite 3000,ANCHORAGE,AK,99503,541614,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,220,4/16/2020,KeyBank National Association,AK - 00
a $5-10 million,ACTION ENTERPRISE HOLDINGS LLC,204 20TH ST N,BIRMINGHAM,AL,35203,484220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,499,4/15/2020,Regions Bank,AL - 07
a $5-10 million,"ALLIANCE HR, INC",307 CLINTON AVE suite 200,HUNTSVILLE,AL,35801,561311,Corporation,Unanswered,Male Owned,Non-Veteran,,443,5/4/2020,Regions Bank,AL - 05
a $5-10 million,"AMERICAN FAMILY CARE, INC.",3700 Cahaba Beach Road,BIRMINGHAM,AL,35242,621111,Subchapter S Corporation,White,Male Owned,Unanswered,,500,5/6/2020,Progress Bank and Trust,AL - 06
a $5-10 million,"AMERICAN PROMOTIONAL EVENTS, INC.",4511 HELTON DR,FLORENCE,AL,35630,424990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,395,4/14/2020,First Southern Bank,AL - 05
a $5-10 million,"ANESTHESIOLOGISTS ASSOCIATES, P.C.",3104 BLUE LAKE DR,VESTAVIA,AL,35243,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,296,4/8/2020,BBVA USA,AL - 06
a $5-10 million,ARD LOGISTICS-ALABAMA LLC,10093 BROSE DR,VANCE,AL,35490,541614,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/14/2020,Level One Bank,AL - 04
a $5-10 million,ASSOCIATED GROCERS OF THE SOUTH INC,3600 Vanderbilt Rd,BIRMINGHAM,AL,35217,424490,Corporation,Unanswered,Unanswered,Unanswered,,270,4/10/2020,Truist Bank d/b/a Branch Banking & Trust Co,AL - 06
a $5-10 million,ATS OPERATING LLC,1900 CRESTWOOD BLVD SUITE 302,IRONDALE,AL,35210,453310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,250,4/4/2020,City National Bank,AL - 06
a $5-10 million,"AUTOMATION PERSONNEL SERVICES, INC.",3500 Colonnade Parkway,BIRMINGHAM,AL,35243,561499,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,499,4/14/2020,Regions Bank,AL - 06
